,일자,시도(출발),시군구(출발),시도(도착),시군구(도착),통행량
0,2019-03,서울특별시,강동구,경기도,가평군,28
1,2019-03,서울특별시,강동구,경기도,고양시,704
2,2019-03,서울특별시,강동구,경기도,과천시,218
3,2019-03,서울특별시,강동구,경기도,광명시,271
4,2019-03,서울특별시,강동구,경기도,광주시,1553
5,2019-03,서울특별시,강동구,경기도,구리시,1529
6,2019-03,서울특별시,강동구,경기도,군포시,148
7,2019-03,서울특별시,강동구,경기도,김포시,77
8,2019-03,서울특별시,강동구,경기도,남양주시,1714
9,2019-03,서울특별시,강동구,경기도,동두천시,73
10,2019-03,서울특별시,강동구,경기도,부천시,566
11,2019-03,서울특별시,강동구,경기도,성남시,6558
12,2019-03,서울특별시,강동구,경기도,수원시,626
13,2019-03,서울특별시,강동구,경기도,시흥시,110
14,2019-03,서울특별시,강동구,경기도,안산시,192
15,2019-03,서울특별시,강동구,경기도,안성시,1
16,2019-03,서울특별시,강동구,경기도,안양시,588
17,2019-03,서울특별시,강동구,경기도,양주시,122
18,2019-03,서울특별시,강동구,경기도,양평군,99
19,2019-03,서울특별시,강동구,경기도,여주시,27
20,2019-03,서울특별시,강동구,경기도,연천군,2
21,2019-03,서울특별시,강동구,경기도,오산시,36
22,2019-03,서울특별시,강동구,경기도,용인시,1133
23,2019-03,서울특별시,강동구,경기도,의왕시,57
24,2019-03,서울특별시,강동구,경기도,의정부시,490
25,2019-03,서울특별시,강동구,경기도,이천시,246
26,2019-03,서울특별시,강동구,경기도,파주시,105
27,2019-03,서울특별시,강동구,경기도,평택시,27
28,2019-03,서울특별시,강동구,경기도,포천시,34
29,2019-03,서울특별시,강동구,경기도,하남시,14267
30,2019-03,서울특별시,강동구,경기도,화성시,142
31,2019-03,서울특별시,강동구,서울특별시,강남구,18731
32,2019-03,서울특별시,강동구,서울특별시,강동구,67476
33,2019-03,서울특별시,강동구,서울특별시,강북구,1015
34,2019-03,서울특별시,강동구,서울특별시,강서구,1600
35,2019-03,서울특별시,강동구,서울특별시,관악구,1544
36,2019-03,서울특별시,강동구,서울특별시,광진구,11299
37,2019-03,서울특별시,강동구,서울특별시,구로구,1508
38,2019-03,서울특별시,강동구,서울특별시,금천구,831
39,2019-03,서울특별시,강동구,서울특별시,노원구,2488
40,2019-03,서울특별시,강동구,서울특별시,도봉구,741
41,2019-03,서울특별시,강동구,서울특별시,동대문구,5185
42,2019-03,서울특별시,강동구,서울특별시,동작구,2368
43,2019-03,서울특별시,강동구,서울특별시,마포구,3072
44,2019-03,서울특별시,강동구,서울특별시,서대문구,2146
45,2019-03,서울특별시,강동구,서울특별시,서초구,5988
46,2019-03,서울특별시,강동구,서울특별시,성동구,4736
47,2019-03,서울특별시,강동구,서울특별시,성북구,2373
48,2019-03,서울특별시,강동구,서울특별시,송파구,37407
49,2019-03,서울특별시,강동구,서울특별시,양천구,760
50,2019-03,서울특별시,강동구,서울특별시,영등포구,3291
51,2019-03,서울특별시,강동구,서울특별시,용산구,2158
52,2019-03,서울특별시,강동구,서울특별시,은평구,834
53,2019-03,서울특별시,강동구,서울특별시,종로구,6566
54,2019-03,서울특별시,강동구,서울특별시,중구,7602
55,2019-03,서울특별시,강동구,서울특별시,중랑구,3273
56,2019-03,서울특별시,강동구,인천광역시,-,32
57,2019-03,서울특별시,강동구,인천광역시,강화군,1
58,2019-03,서울특별시,강동구,인천광역시,계양구,102
59,2019-03,서울특별시,강동구,인천광역시,남동구,62
60,2019-03,서울특별시,강동구,인천광역시,동구,9
61,2019-03,서울특별시,강동구,인천광역시,미추홀구,63
62,2019-03,서울특별시,강동구,인천광역시,부평구,235
63,2019-03,서울특별시,강동구,인천광역시,서구,117
64,2019-03,서울특별시,강동구,인천광역시,연수구,81
65,2019-03,서울특별시,강동구,인천광역시,옹진군,1
66,2019-03,서울특별시,강동구,인천광역시,중구,149
67,2019-03,서울특별시,동대문구,경기도,가평군,340
68,2019-03,서울특별시,동대문구,경기도,고양시,3052
69,2019-03,서울특별시,동대문구,경기도,과천시,363
70,2019-03,서울특별시,동대문구,경기도,광명시,619
71,2019-03,서울특별시,동대문구,경기도,광주시,267
72,2019-03,서울특별시,동대문구,경기도,구리시,3469
73,2019-03,서울특별시,동대문구,경기도,군포시,617
74,2019-03,서울특별시,동대문구,경기도,김포시,243
75,2019-03,서울특별시,동대문구,경기도,남양주시,6127
76,2019-03,서울특별시,동대문구,경기도,동두천시,881
77,2019-03,서울특별시,동대문구,경기도,부천시,2094
78,2019-03,서울특별시,동대문구,경기도,성남시,3282
79,2019-03,서울특별시,동대문구,경기도,수원시,1158
80,2019-03,서울특별시,동대문구,경기도,시흥시,314
81,2019-03,서울특별시,동대문구,경기도,안산시,550
82,2019-03,서울특별시,동대문구,경기도,안성시,4
83,2019-03,서울특별시,동대문구,경기도,안양시,1632
84,2019-03,서울특별시,동대문구,경기도,양주시,1187
85,2019-03,서울특별시,동대문구,경기도,양평군,681
86,2019-03,서울특별시,동대문구,경기도,여주시,28
87,2019-03,서울특별시,동대문구,경기도,연천군,27
88,2019-03,서울특별시,동대문구,경기도,오산시,132
89,2019-03,서울특별시,동대문구,경기도,용인시,1090
90,2019-03,서울특별시,동대문구,경기도,의왕시,205
91,2019-03,서울특별시,동대문구,경기도,의정부시,5232
92,2019-03,서울특별시,동대문구,경기도,이천시,60
93,2019-03,서울특별시,동대문구,경기도,파주시,521
94,2019-03,서울특별시,동대문구,경기도,평택시,136
95,2019-03,서울특별시,동대문구,경기도,포천시,219
96,2019-03,서울특별시,동대문구,경기도,하남시,696
97,2019-03,서울특별시,동대문구,경기도,화성시,297
